episode,rewards_total
1,-3.63749952359
2,-0.762742709645
3,-3.69148027297
4,-0.934076027561
5,4.07401388048
6,-3.78527531171
7,-8.55066380106
8,-0.427908305286
9,-3.02036670022
10,5.58844268815
11,-11.89943855
12,-14.5848736108
13,-11.2984232126
14,-1.76511084688
15,4.25700974171
16,-0.889355018815
17,-3.95659335881
18,1.60843594393
19,-9.40114938404
20,-6.79295101665
21,-9.50211860489
22,-16.4040054907
23,-19.326542516
24,-13.5235164423
25,-16.9375457683
26,-0.00802721440799
27,-6.37891875216
28,2.07906016197
29,2.40218688595
30,2.12252882323
31,-10.081708977
32,-87.4010340493
33,-185.776876733
34,9.04279051512
35,9.06684364722
36,8.88716420132
37,9.02764096517
38,8.94930767565
39,8.85879025138
40,8.94152450528
41,8.76633564877
42,9.02901294331
43,9.08684446578
44,8.92486787821
45,8.98259173148
46,8.73173249133
47,8.93947043452
48,8.81427565884
49,8.97370887403
50,8.88792574696
51,9.04900025689
52,8.98545429988
53,8.85531856706
54,9.00219051651
55,8.70851670536
56,9.07707211502
57,8.94526125371
58,8.92367739331
59,9.12779993998
60,9.01073071477
61,9.01760360631
62,9.24951597081
63,9.75774160488
64,10.2106426597
65,11.6292163539
66,13.3076124474
67,10.273021938
68,9.53510508682
69,7.56303183448
70,6.85563877582
71,9.14885479606
72,21.9903099532
73,21.8758458874
74,-4.59897323692
75,-3.64795168075
76,-134.525428967
77,11.7952778914
78,8.52945824855
79,6.94170040476
80,4.83021712009
81,7.23031602187
82,10.5454387006
83,10.6121097326
84,8.83328654911
85,10.7913388458
86,9.36342844479
87,2.22407292786
88,6.79835082267
89,5.41830486017
90,3.36539834833
91,9.77708020326
92,9.01538553092
93,9.79773625254
94,8.53648388771
95,8.7241430937
96,8.7812746356
97,10.8575597517
98,10.7188830995
99,10.4851466942
100,10.540936397
101,10.5472877613
102,10.5647743082
103,10.5844726717
104,10.6450256604
105,10.6661872723
106,10.8126342407
107,10.8740940951
108,10.6728115238
109,7.96245903422
110,5.46136225267
111,8.72041138048
112,10.6524970576
113,10.5905330042
114,10.5720230561
115,10.5572969439
116,10.5454995444
117,10.5427823795
118,10.5389364641
119,10.5373127721
120,10.5364022672
121,10.5358140571
122,10.5347065999
123,10.5318517798
124,-10.8927088202
125,-11.3003018932
126,-8.31465646134
127,5.27905018522
128,1.46258614599
129,0.318600130495
130,-4.30727367992
131,-5.31707919105
132,-0.619169046444
133,-5.1877829188
134,-8.21053999029
135,5.35378250644
136,-4.32890004004
137,-7.07829415794
138,-6.79541316145
139,4.30663561614
140,5.69656694652
141,4.42562056972
142,-6.43450265863
143,3.27225033256
144,8.80425150407
145,-15.5901867911
146,-0.291512248181
147,5.43444790542
148,-16.4803445794
149,-0.764293073151
150,-5.26313267417
151,8.67222799077
152,-16.9441152575
153,-22.9778823163
154,-1.85278322254
155,-2.24848752905
156,5.41458234077
157,7.87158635847
158,-2.01126402323
159,-0.168847241071
160,6.62890510921
161,4.82828213875
162,-13.6367096632
163,-7.35594014253
164,6.42752676001
165,-4.37779950219
166,-11.8284758234
167,1.35137551091
168,9.13125853327
169,0.485578394738
170,1.96537321828
171,-1.3369751457
172,9.16408974661
173,-7.83276416177
174,2.31220512026
175,-9.26407371393
176,-0.662897302582
177,8.35691808547
178,3.74200073603
179,2.85371170256
180,-4.59818856678
181,-4.74381704792
182,8.76192625493
183,13.4664592002
184,13.518637203
185,8.32188806741
186,8.23876985505
187,5.97975490298
188,-7.16011392205
189,-44.7170178356
190,-20.6001959488
191,-33.2401086563
192,-35.0109812271
193,-19.5382057386
194,-8.46436738097
195,-19.5199278127
196,-32.083486732
197,-2.27816111047
198,-12.1680360756
199,-16.7056746568
200,-81.936183596
201,-25.2279668738
202,-27.7154955699
203,-22.688049453
204,-19.6334544836
205,-74.7858377898
206,2.51134584218
207,-65.7911598824
208,-51.8914257865
209,-93.5912923191
210,5.33024371526
211,-43.3075363197
212,-29.6244301321
213,-14.3330823466
214,-4.99106776752
215,-53.1442518659
216,8.29654190002
217,-9.29496183331
218,-5.64062337432
219,7.7515861939
220,-184.263339956
221,-183.350054337
222,-23.5730656306
223,-140.422788011
224,-29.8914254065
225,0.913468475468
226,7.74957893171
227,2.75090499806
228,-4.0306818837
229,10.296319516
230,2.57968869791
231,5.00394099049
232,10.601218577
233,-2.11898845092
234,27.2330623215
235,-7.83770992709
236,3.0606003358
237,-81.590928978
238,-39.5971432118
239,-200.727179947
240,-23.5585077998
241,-191.627574957
242,-143.210362067
243,-212.822371912
244,-59.6657624247
245,-32.6307664135
246,-149.086341468
247,-217.719560494
248,-199.732283122
249,-28.6279085552
250,-10.0880666236
251,-9.37823746945
252,-21.4605245125
253,2.07065195678
254,-137.324147759
255,-94.2262667575
256,-94.7514546555
257,-9.76028088988
258,-6.75895778696
259,-10.710072337
260,-122.63639885
261,-10.8549934485
262,-8.16404320657
263,-83.5285813286
264,-0.660147042202
265,4.81795476702
266,4.57017592955
267,-8.73224515568
268,2.50935051574
269,-14.3635016183
270,-9.66098420916
271,-29.1786530981
272,-5.7267150207
273,-13.7718610302
274,-55.7564116794
275,-6.6770971606
276,10.0558214585
277,7.09520898275
278,-13.7711238055
279,-3.70603258767
280,-3.38163527138
281,2.29049518599
282,-2.18455158535
283,-3.45767584776
284,-13.3412736735
285,-6.49404120018
286,-3.70037005624
287,1.89648409393
288,4.99873851036
289,7.34591689037
290,-9.05427489823
291,-10.1929278943
292,-2.85773967717
293,-6.10698750374
294,-15.0125102442
295,-18.0053536757
296,4.76893875072
297,-13.3734733287
298,-22.2333583519
299,-28.5964770898
300,-16.1338179215
301,-1.98646216847
302,-4.9768465905
303,-15.8533731375
304,-10.0410071422
305,0.659672584368
306,3.29794426895
307,2.25439985949
308,4.97455410282
309,2.19576555514
310,0.627427005818
311,5.83557324917
312,0.330217004531
313,-9.50298762466
314,13.0817876041
315,-3.21329403251
316,1.48895975394
317,-0.601873001808
318,3.36094378856
319,-176.191209488
320,-8.86987451756
321,-27.2464854237
322,5.89859160167
323,-4.22519221533
324,-1.75096886809
325,3.10685493582
326,-0.0154931955022
327,-6.77594182553
328,8.83915809042
329,-4.03138887776
330,0.60055729044
331,10.194398984
332,-8.67471591276
333,-8.95164951376
334,12.4505397969
335,-14.0095502867
336,-4.03506413135
337,0.587844045253
338,-60.6348177321
339,-18.7659707319
340,-115.660575831
341,-12.8115970247
342,-19.2155975966
343,-45.0596586799
344,-7.7781266617
345,-126.908661583
346,-210.720510309
347,-184.151221914
348,-156.880791162
349,-210.459036386
350,-188.888576001
351,-209.870745715
352,-168.485020839
353,-180.553953283
354,-198.183121595
355,-186.46471141
356,-121.286479391
357,-41.2812570778
358,-119.267012951
359,-112.501535559
360,-123.833685489
361,-21.2069433592
362,-66.8027897928
363,-212.60541917
364,-99.8678151572
365,-57.9149028947
366,-59.4491515648
367,-13.1959472835
368,-31.0889014784
369,-65.7958873838
370,-129.034031416
371,-29.0197407531
372,2.49724773135
373,-55.8201695973
374,-8.16234431227
375,-157.019977976
376,-140.481705379
377,-120.917145246
378,-1.03065716934
379,-86.8839848426
380,-103.082622827
381,-206.419310012
382,-191.009867678
383,-121.786480463
384,-106.10500528
385,-97.0300957229
386,-211.192176485
387,-211.567772945
388,-211.982130089
389,-147.744910418
390,-88.0058778756
391,-123.572908516
392,-30.6578590764
393,-27.6533571176
394,-27.003091894
395,-19.9161427524
396,-19.7355570782
397,-14.5355520283
398,-19.8005458097
399,-11.8610493217
400,-11.8151448612
401,-9.46033927433
402,-214.648146863
403,-211.887381971
404,-210.597670024
405,-211.758389396
406,-212.058460602
407,-211.655868796
408,-210.829783888
409,-184.840586705
410,-213.454712173
411,-206.983396879
412,-123.043345862
413,-128.499156086
414,-125.625992206
415,-191.53326243
416,-179.200596593
417,-169.924093742
418,-163.893975857
419,-121.904804961
420,-212.201311059
421,-148.914794512
422,-211.684371999
423,-211.455498555
424,-211.280030212
425,-210.805628423
426,-137.975897696
427,-98.9685819705
428,-25.8604366784
429,-26.3061677679
430,-25.1657938576
431,-29.3426084012
432,-65.280550491
433,-203.910731126
434,-210.894297204
435,-24.0795652203
436,-31.4872959605
437,-46.9767379068
438,-38.0989525234
439,-207.345797562
440,-211.427024735
441,-211.983541977
442,-7.928860112
443,-56.1694685056
444,-100.574818005
445,-179.027453614
446,-26.4008728187
447,-15.7170530956
448,-46.3058611539
449,-9.76426169253
450,-7.4903855988
451,-21.0493607109
452,-25.5438805778
453,-43.5202501928
454,-5.05292322427
455,-10.4776216438
456,-1.22467948717
457,0.228069855296
458,1.57187687685
459,-2.74446333131
460,-15.820179307
461,-17.9129797715
