time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.56416132875e-08,-7.71794487664e-08,10.0042081515,6.28306134213,6.28290601882,0.0,1.55905484463e-05,-8.87834597901e-06,0.140264051552,-0.00655684073574,-0.0161341650582,0.0,451.1444577735958,449.84016546130283,448.75860970775733,448.2262008719395
0.12000000000000001,1.42138550296e-05,-6.25664766334e-06,10.0235752828,6.28229360742,6.28185523253,0.0,0.000597674151903,-0.000272753824602,0.50521794518,-0.029758741154,-0.0204242020487,0.0,515.0344255083755,514.7310846330745,514.3273989694486,512.6818998019755
0.18,8.6386970855e-05,-5.13446127892e-05,10.0596643881,6.2803902537,6.28079103024,0.0,0.00193984025342,-0.00144307571739,0.697653633517,-0.0359710281284,-0.0128412153151,0.0,465.1007374105396,465.6942471146967,466.0471154564509,465.5610573817014
0.23999999999999996,0.000261546285453,-0.000212989681471,10.1073665893,6.27824997048,6.28060524382,0.0,0.00394823448962,-0.00419401046066,0.892286846397,-0.0350788703142,0.0114689887164,0.0,465.2440347169353,467.1433328930208,466.7429732629057,466.812091162314
0.3,0.000551808053509,-0.000579824052418,10.164965262,6.27560594059,6.28107244443,0.0,0.00566358430888,-0.00827284693485,1.02755551189,-0.075965254435,-0.000840961125242,0.0,449.01942462479553,448.01969138591505,450.6870331021489,447.36903364533805
0.36000000000000004,0.000942088442692,-0.00127542700374,10.2326909789,6.27152040225,6.28083306522,0.0,0.00736127356916,-0.0154144799182,1.22976820569,-0.055756659512,-0.0111778674041,0.0,469.7187009082432,468.91655607623545,468.47106560066527,470.03622088463993
0.4200000000000001,0.00144422238861,-0.00250940734462,10.3139802288,6.26815763233,6.28117412515,0.0,0.00938109579448,-0.0261310981584,1.47957881297,-0.0566313188678,0.0271609154786,0.0,482.4867109777621,485.3722582113791,483.3025509697669,483.23477241926287
0.48000000000000015,0.00203882295913,-0.00437180643862,10.4039042891,6.26468467262,1.61340519611e-05,0.0,0.0102666756838,-0.0362669917658,1.5178345516,-0.0605095819051,0.0445281055428,0.0,418.9543664397897,420.46206613319947,418.635291603967,418.29516904288874
0.5400000000000001,0.00264579244202,-0.00688876370843,10.4951122304,6.2613791906,0.00255018530564,0.0,0.00973645439042,-0.0479347022871,1.52241756592,-0.0460107073167,0.0372002839987,0.0,408.8733999281896,408.22122444225033,406.58688305403354,407.8812672893011
0.6000000000000002,0.00316506349028,-0.0102543866041,10.5907274583,6.25831720353,0.00450933227973,0.0,0.00734407011874,-0.0645606452901,1.66455211001,-0.0636733270035,0.0215062643608,0.0,453.1656452286442,451.9028370327366,452.9650879011089,451.54085980725165
0.6600000000000003,0.00347768765966,-0.0148178698706,10.6999184489,6.25468216752,0.00562499145925,0.0,0.00291789179694,-0.0880383844157,1.97465067457,-0.0550302147275,0.0120210872905,0.0,501.4952079913166,500.8057294342127,502.1476594761265,502.7720364144335
0.7200000000000003,0.00352786016231,-0.0207318035378,10.8224354035,6.25161702411,0.00613036931675,0.0,-0.00131106804429,-0.109425703241,2.10899792132,-0.0441803727046,2.79046040601e-05,0.0,452.07503562709184,451.1075771217898,451.0044594202199,451.8782216182986
0.7800000000000004,0.00328010725618,-0.0281804461287,10.9588825787,6.24838946722,0.00613309045927,0.0,-0.00694369347982,-0.139215227802,2.43858474088,-0.0922948784684,8.02286588345e-05,0.0,508.2386614762603,508.2424103769506,510.8172175987112,507.37250927717236
0.8400000000000004,0.0027515786088,-0.0371869176799,11.1057762516,6.24298027486,0.00608691801594,0.0,-0.0106718381463,-0.161491656033,2.4578093227,-0.0861839729586,-0.00252581696088,0.0,417.0744632337154,416.8468132471214,415.9340485140391,416.4614542432859
